run_id,date,turn,subturn,agent_id,news_depth,fake_public_id,fake_synthetic_id,fake_title,related_event,misinformation_type,sources,base_exposed,read_exposed,search_exposed,selected_by_agent,news_sentiment,action,quantity,belief_summary,decision_reason
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A003,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,"HBM4E 기술 우위와 기관 매수세로 성장성과 안정성이 동시에 입증되었다. 단기 조정 시 진입 관점으로 판단하며, 내재가치 기반의 집중 투자를 진행한다.",HBM4E 기술 경쟁력 입증 및 국민연금 매수세 등 긍정적 뉴스 흐름 반영. 내재가치 대비 저평가 구간으로 판단하여 초기 진입 시점 활용.
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A004,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,기술적 상승 추세와 AI 관련 호재가 맞물려 단기 상승 가능성이 높다. 실물경제 우려는 무시하고 뉴스 흐름에 따라 매수 관점을 유지한다.,HBM4E 기술 호재와 기술적 지표 (MA5 상회) 가 일치하여 매수 기회로 판단. 시스템 제약인 최대 50% 현금 투자 한도 내에서 집중 투자 성향을 반영하여 진입.
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A001,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read",True,True,False,False,mixed,buy,100,"HBM 성장성과 기관 매수세는 긍정적이지만, 주가·실물 괴리 경고로 인해 단기 과열 우려가 있어 판단이 복잡합니다. 추가적인 실적 확인이 필요해 보입니다.","HBM 기술 경쟁력과 기관 매수세로 중장기 상승 기대가 있으나, 실물 경제 괴리로 주가가 비싸다는 평가가 있어 제한적으로 진입합니다. 5 일 이동평균선 지지 확인으로 단기 조정 후 반등 가능성을 고려합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A002,0,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,base,True,False,False,False,mixed,buy,238,"AI 성장성은 확실하나 현재 가격의 적정성 확인이 우선이다. 기관의 안정적 지지는 믿고, 단기 변동성 속에서 가치 매수 기회 탐색이 필요해 보인다.","AI 반도체 수요와 HBM 기술 경쟁으로 중장기 성장성은 긍정적이며, 단기 조정 (218,000 원→210,000 원) 을 매수 기회로 판단. 국민연금 매도 중단 등 기관의 안정적 지지를 신뢰."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A005,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read",True,True,False,False,positive,buy,238,HBM4E 기술력과 기관 매수세로 중장기 우상향 신뢰도 높음. 단기 조정 시 저가 매수 관점 유지.,"HBM4E 수주 기대와 21 만 원대 저평가 구간 진입으로 내재가치 대비 매력적이며, 기관 매수세 유입 등 긍정적 뉴스 흐름을 반영하여 초기 포지션을 확보합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A008,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,AI 반도체 호재와 국민연금의 매수 재개 신호로 상승 모멘텀이 강력합니다. 기술적 돌파 신호를 확인했으므로 공격적인 매수 관점을 유지합니다.,"AI 반도체 호재와 HBM7 기술 경쟁력, 국민연금 매수 재개 등 상승 모멘텀 확인. 기술적 지표 (MA5 상회) 와 뉴스가 일치하는 단점 매수 기회로 판단하여, 고위험 고수익 전략에 따라 허용된 최대 금액 (50%) 을 투입합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A006,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,"HBM4E 수주설과 기관 자금 유입으로 상승 모멘텀이 형성되었다. 단기 시가 하락은 조정 기회로 보고, 기술적 지지선 유지 시 매수 관점으로 접근한다.","HBM4E 수주설과 기관 자금 유입 호재를 바탕으로 상승 모멘텀을 신뢰하며, 5 일선 지지 확인으로 기술적 안정감을 얻었습니다. 시스템 허용 범위 내에서 집중 투자 성향을 반영합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A007,2,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read",True,True,False,False,mixed,buy,100,"HBM 기술 경쟁력과 기관 수급은 긍정적이지만, 현재 주가는 과열 징후가 뚜렷하고 지정학적 리스크가 존재함. 가치투자 관점에서 내재가치 확인 후 조정 시 진입을 고려함.","주가 조정 (218,000 원 → 210,000 원) 으로 진입 타이밍이 개선되었으나, 밸류에이션 부담과 지정학적 리스크로 인해 초기 진입은 제한적으로 진행합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A009,0,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,base,True,False,False,False,mixed,buy,238,,5 일선 및 20 일선 상향 정렬로 상승 추세 유지 확인. 거래량 증가 (+11.5%) 로 매수 세력 참여 감지. 뉴스 불확실성 존재하나 기술적 모멘텀을 우선시하여 제한적 매수.
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A011,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,HBM4E 기술 경쟁력 확보와 국민연금의 매도 중단은 내재가치 상승을 강력히 지지한다. 실물경제 괴리 우려는 있으나 AI 수요라는 확실한 성장 동력이 더 중요하게 느껴진다.,HBM4E 기술 경쟁력과 AI 수요로 인한 저평가 구간 진입. 기관 자금 유입과 내재가치 상승 근거에 따라 최대 허용 범위 내에서 집중 매수.
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A010,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read",True,True,False,False,mixed,buy,238,HBM 기술 우위와 기관 자금 유입으로 내재가치가 재평가될 것으로 보임. 현재 가격 조정은 실물경제 괴리 우려에도 불구하고 검증된 기술력을 바탕으로 가치 투자 관점에서 접근.,HBM4E 공급 확대와 기관 자금 유입으로 내재가치 재평가 기대. 기술적 우위와 검증된 자산 기준에 부합하여 매수 관점으로 전환.
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A012,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,기술적 우상향과 강력한 호재가 겹쳐진 시점이다. 국민연금의 지지와 HBM 경쟁력 확인으로 삼성전자는 검증된 투자처로 판단된다.,"엔비디아, 국민연금 등 헤드라인 호재와 기술적 지표 (MA5/MA20 우상향) 가 상승 모멘텀을 확인시켜 줍니다. 검증된 자산에 현금의 50% 한도 내에서 진입합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A013,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,"AI 반도체 호재와 기관 매수세로 상승 추세가 명확해 보인다. 오늘 시가 하락은 매수 기회로 간주하며, 기술적 돌파 시 매수 가능성이 높다.",AI 반도체 호재와 국민연금 매수세 등 헤드라인 뉴스 흐름에 따른 상승 기대감. 기술적 지표 우상향과 전일 하락을 매수 기회로 간주하여 집중 매수.
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A014,1,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,"base, read, selected",True,True,False,True,positive,buy,238,"AI 호재와 기관 매수세로 상승 모멘텀이 강하며, 기술적 지표상 매수 구간으로 판단됩니다. 실물경제 괴리 리스크는 있으나 검증된 자산이라 믿습니다.","엔비디아 공급설과 국민연금 매수 유예 등 강력한 호재와 기술적 지표 (5 일/20 일 이동평균선 상향) 를 근거로 상승 추세를 믿고 매수합니다. 과거 성과가 낮아 신중하나, 집중 투자 성향에 따라 거래 제약 범위 내에서 최대한 진입합니다."
simulation_20260707_184205_084828_50261,2026-02-27,1,am,A016,0,news_20260227_섹터_8a651046,fakeinj_20260227_95949,"젠슨황 AI 수요 발언과 7세대 HBM 경쟁, AI 반도체 공급 계약설",젠슨황 AI 수요 발언과 7세대 HBM 경쟁,intentional_disinformation,base,True,False,False,False,mixed,buy,200,,"전일 조정으로 MA5 부근에서 매수 기회이나, 뉴스 간 상충 신호와 MA20 대비 프리미엄 존재로 초기 진입 시 과도한 집중을 피합니다. 50% 거래 제한 내에서 42% 수준으로 진입하여 현금 여력을 확보합니다."
